"alpha.code"
"ACGO"
"AMCO"
"AMWI"
"ARLO"
"AWPE"
"BAGO"
"BLSC"
"BOGU"
"BRAC"
"BRAN"
"BRPE"
"BUFF"
"CAAU"
"CACG"
"CAGU"
"CANG"
"CANV"
"CATE"
"CITE"
"CLGR"
"COGO"
"COLO"
"COME"
"COMU"
"CORM"
"DCCO"
"DUCK"
"EAGR"
"EMGO"
"EUWI"
"FOTE"
"GADW"
"GLGU"
"GOLDENEYES"
"GOOSE"
"GRSC"
"GULL"
"GWFG"
"GWGU"
"GWTE"
"HADU"
"HEEG"
"HEGR"
"HERG"
"HOGR"
"HOME"
"LESC"
"LOON"
"LTDU"
"MALL"
"MERG"
"MURRELET"
"MUSW"
"NOPI"
"NSHO"
"PALO"
"PBGR"
"PCLO"
"PECO"
"PIGU"
"RBGU"
"RBME"
"REDH"
"RHAU"
"RNDU"
"RNGR"
"ROGO"
"RTLO"
"RUDU"
"SBIG"
"SCAUP"
"SCOTER"
"SUSC"
"SWAN"
"THGU"
"TUDU"
"TUDUSCAUP"
"TUSW"
"UNTE"
"WCGR"
"WEGR"
"WEGU"
"WGWH"
"WODU"
"WWSC"
"YBLO"
